country,continent,cases,todayCases,deaths,todayDeaths,recovered,active,critical,tests,population,casesPerOneMillion,deathsPerOneMillion,updated,event_ts,updated_ts,cases_per_million,deaths_per_million,tests_per_thousand,ingest_time,source_system,event_date
Brazil,South America,38743964,46,711382,2,36249161,1783377,0,63776340,215353593,179908.0,3303.0,1755946217305,2025-08-23 18:50:17,2025-08-23 18:50:17,179908.6,3303.32,296.15,2025-08-23 18:53:13.025,disease.sh,2025-08-23
Cyprus,Asia,681110,0,1365,0,679745,0,0,9640118,1223387,556741.0,1116.0,1755946217305,2025-08-23 18:50:17,2025-08-23 18:50:17,556741.24,1115.75,7879.86,2025-08-23 18:53:13.025,disease.sh,2025-08-23
Falkland Islands (malvinas),South America,1930,0,0,0,1930,0,0,8633,3539,545352.0,0.0,1755946217304,2025-08-23 18:50:17,2025-08-23 18:50:17,545351.79,0.0,2439.39,2025-08-23 18:53:13.025,disease.sh,2025-08-23
Bulgaria,Europe,1339856,5,38748,0,1292944,8159,22,11671047,6844597,195753.0,5661.0,1755946217304,2025-08-23 18:50:17,2025-08-23 18:50:17,195753.82,5661.11,1705.15,2025-08-23 18:53:13.025,disease.sh,2025-08-23
Uruguay,South America,1041112,1,7664,0,1030944,2503,18,6114824,3496016,297799.0,2192.0,1755946217305,2025-08-23 18:50:17,2025-08-23 18:50:17,297799.55,2192.21,1749.08,2025-08-23 18:53:13.025,disease.sh,2025-08-23
Armenia,Asia,451833,2,8777,0,435162,7892,0,3242901,2971966,152031.0,2953.0,1755946217304,2025-08-23 18:50:17,2025-08-23 18:50:17,152031.69,2953.26,1091.16,2025-08-23 18:53:13.025,disease.sh,2025-08-23
Mayotte,Africa,42028,1,188,0,0,41839,0,176920,286259,146815.0,657.0,1755946217305,2025-08-23 18:50:17,2025-08-23 18:50:17,146818.09,656.75,618.04,2025-08-23 18:53:13.025,disease.sh,2025-08-23
Nauru,Australia-Oceania,5394,1,1,0,5347,45,0,20509,10903,494635.0,92.0,1755946217304,2025-08-23 18:50:17,2025-08-23 18:50:17,494726.22,91.72,1881.04,2025-08-23 18:53:13.025,disease.sh,2025-08-23
Qatar,Asia,514526,2,690,0,513687,147,16,4065371,2979915,172664.0,232.0,1755946217305,2025-08-23 18:50:17,2025-08-23 18:50:17,172664.66,231.55,1364.26,2025-08-23 18:53:13.025,disease.sh,2025-08-23
Jordan,Asia,1747005,8,14122,0,1731007,1868,59,17201887,10300869,169597.0,1371.0,1755946217305,2025-08-23 18:50:17,2025-08-23 18:50:17,169597.83,1370.95,1669.95,2025-08-23 18:53:13.025,disease.sh,2025-08-23
Sudan,Africa,64011,18,5046,0,58947,0,0,562971,45992020,1391.0,110.0,1755946217305,2025-08-23 18:50:17,2025-08-23 18:50:17,1391.78,109.71,12.24,2025-08-23 18:53:13.025,disease.sh,2025-08-23
Kazakhstan,Asia,1411838,7,13848,0,1383020,14963,24,11575025,19205043,73514.0,721.0,1755946217305,2025-08-23 18:50:17,2025-08-23 18:50:17,73513.92,721.06,602.71,2025-08-23 18:53:13.025,disease.sh,2025-08-23
Lithuania,Europe,1397807,1,9897,0,1387478,431,0,10540360,2661708,525154.0,3718.0,1755946217304,2025-08-23 18:50:17,2025-08-23 18:50:17,525154.15,3718.29,3960.0,2025-08-23 18:53:13.025,disease.sh,2025-08-23
Lao People's Democratic Republic,Asia,218971,1,758,0,0,218212,0,1233214,7481023,29270.0,101.0,1755946217304,2025-08-23 18:50:17,2025-08-23 18:50:17,29270.19,101.32,164.85,2025-08-23 18:53:13.025,disease.sh,2025-08-23
Morocco,Africa,1279012,20,16303,0,0,1262689,0,13001065,37772756,33860.0,432.0,1755946217305,2025-08-23 18:50:17,2025-08-23 18:50:17,33860.7,431.61,344.19,2025-08-23 18:53:13.025,disease.sh,2025-08-23
Spain,Europe,13914812,1,121760,0,13762417,30634,231,471036339,46719142,297840.0,2606.0,1755946217304,2025-08-23 18:50:17,2025-08-23 18:50:17,297839.63,2606.21,10082.3,2025-08-23 18:53:13.025,disease.sh,2025-08-23
Saint Pierre Miquelon,North America,3452,0,2,0,2449,1001,0,25401,5759,599410.0,347.0,1755946217304,2025-08-23 18:50:17,2025-08-23 18:50:17,599409.62,347.28,4410.66,2025-08-23 18:53:13.025,disease.sh,2025-08-23
New Caledonia,Australia-Oceania,80064,0,314,0,0,79750,0,98964,290915,275214.0,1079.0,1755946217304,2025-08-23 18:50:17,2025-08-23 18:50:17,275214.41,1079.35,340.18,2025-08-23 18:53:13.025,disease.sh,2025-08-23
Cook Islands,Australia-Oceania,7204,1,2,0,7150,51,0,19690,17571,409937.0,114.0,1755946217305,2025-08-23 18:50:17,2025-08-23 18:50:17,409993.74,113.82,1120.6,2025-08-23 18:53:13.025,disease.sh,2025-08-23
New Zealand,Australia-Oceania,2621111,0,5697,0,2613791,1623,0,7768604,4898203,535117.0,1163.0,1755946217304,2025-08-23 18:50:17,2025-08-23 18:50:17,535116.86,1163.08,1586.01,2025-08-23 18:53:13.025,disease.sh,2025-08-23
Cayman Islands,North America,31473,1,37,0,8553,22882,1,222774,67277,467797.0,550.0,1755946217304,2025-08-23 18:50:17,2025-08-23 18:50:17,467812.18,549.97,3311.3,2025-08-23 18:53:13.025,disease.sh,2025-08-23
Australia,Australia-Oceania,11853145,1,24414,0,11820014,8716,3,81916653,26068792,454687.0,937.0,1755946217305,2025-08-23 18:50:17,2025-08-23 18:50:17,454687.16,936.52,3142.33,2025-08-23 18:53:13.025,disease.sh,2025-08-23
French Guiana,South America,98041,0,420,0,11254,86367,6,651258,314169,312065.0,1337.0,1755946217305,2025-08-23 18:50:17,2025-08-23 18:50:17,312064.53,1336.86,2072.95,2025-08-23 18:53:13.025,disease.sh,2025-08-23
Sint Maarten,North America,11051,0,92,0,10905,54,0,62057,43966,251353.0,2093.0,1755946217304,2025-08-23 18:50:17,2025-08-23 18:50:17,251353.32,2092.53,1411.48,2025-08-23 18:53:13.025,disease.sh,2025-08-23
Saint Martin,North America,12325,1,63,0,0,12261,0,112382,39730,310194.0,1586.0,1755946217304,2025-08-23 18:50:17,2025-08-23 18:50:17,310218.98,1585.7,2828.64,2025-08-23 18:53:13.025,disease.sh,2025-08-23
Vanuatu,Australia-Oceania,12020,1,14,0,11976,29,0,24976,321832,37346.0,44.0,1755946217304,2025-08-23 18:50:17,2025-08-23 18:50:17,37348.68,43.5,77.61,2025-08-23 18:53:13.025,disease.sh,2025-08-23
Costa Rica,North America,1238887,4,9428,0,0,1229455,0,4659759,5182354,239058.0,1819.0,1755946217304,2025-08-23 18:50:17,2025-08-23 18:50:17,239058.74,1819.25,899.16,2025-08-23 18:53:13.025,disease.sh,2025-08-23
Guadeloupe,North America,203236,1,1021,0,0,202214,0,938039,399794,508349.0,2554.0,1755946217304,2025-08-23 18:50:17,2025-08-23 18:50:17,508351.8,2553.82,2346.31,2025-08-23 18:53:13.025,disease.sh,2025-08-23
St. Barth,North America,5507,0,6,0,0,5501,0,78647,9945,553746.0,603.0,1755946217304,2025-08-23 18:50:17,2025-08-23 18:50:17,553745.6,603.32,7908.2,2025-08-23 18:53:13.025,disease.sh,2025-08-23
Greenland,North America,11972,1,21,0,2761,9189,4,164926,56973,210117.0,369.0,1755946217304,2025-08-23 18:50:17,2025-08-23 18:50:17,210134.63,368.6,2894.81,2025-08-23 18:53:13.025,disease.sh,2025-08-23
Tonga,Australia-Oceania,16950,0,13,0,15638,1299,0,535009,107749,157310.0,121.0,1755946217305,2025-08-23 18:50:17,2025-08-23 18:50:17,157310.04,120.65,4965.33,2025-08-23 18:53:13.025,disease.sh,2025-08-23
Samoa,Australia-Oceania,17007,1,31,0,1605,15370,0,187397,202239,84089.0,153.0,1755946217305,2025-08-23 18:50:17,2025-08-23 18:50:17,84093.57,153.28,926.61,2025-08-23 18:53:13.025,disease.sh,2025-08-23
Colombia,South America,6400207,34,143201,1,6212152,44821,342,36951521,51512762,124244.0,2780.0,1755946217304,2025-08-23 18:50:17,2025-08-23 18:50:17,124245.08,2779.91,717.33,2025-08-23 18:53:13.025,disease.sh,2025-08-23
Paraguay,South America,837602,0,20155,0,0,817447,0,2657512,7305843,114648.0,2759.0,1755946217304,2025-08-23 18:50:17,2025-08-23 18:50:17,114648.23,2758.75,363.75,2025-08-23 18:53:13.025,disease.sh,2025-08-23
Bahamas,North America,38085,1,844,0,36366,874,1,257840,400516,95087.0,2107.0,1755946217304,2025-08-23 18:50:17,2025-08-23 18:50:17,95089.83,2107.28,643.77,2025-08-23 18:53:13.025,disease.sh,2025-08-23
Bolivia,South America,1212132,1,22407,0,1177145,12579,220,2710262,11992656,101073.0,1868.0,1755946217304,2025-08-23 18:50:17,2025-08-23 18:50:17,101072.86,1868.39,225.99,2025-08-23 18:53:13.025,disease.sh,2025-08-23
Jamaica,North America,156870,1,3756,0,0,153113,0,1183988,2985094,52551.0,1258.0,1755946217305,2025-08-23 18:50:17,2025-08-23 18:50:17,52551.11,1258.25,396.63,2025-08-23 18:53:13.025,disease.sh,2025-08-23
Bermuda,North America,18861,1,165,0,18685,10,0,1029558,61939,304493.0,2664.0,1755946217304,2025-08-23 18:50:17,2025-08-23 18:50:17,304509.28,2663.91,16622.13,2025-08-23 18:53:13.025,disease.sh,2025-08-23
Grenada,North America,19694,1,238,0,19358,97,4,182982,113475,173545.0,2097.0,1755946217304,2025-08-23 18:50:17,2025-08-23 18:50:17,173553.65,2097.38,1612.53,2025-08-23 18:53:13.025,disease.sh,2025-08-23
Côte D'ivoire,Africa,88404,20,835,0,87497,52,0,1690940,27742298,3186.0,30.0,1755946217304,2025-08-23 18:50:17,2025-08-23 18:50:17,3186.61,30.1,60.95,2025-08-23 18:53:13.025,disease.sh,2025-08-23
Canada,North America,4946114,24,59034,0,4881312,5744,99,66572799,38388419,128843.0,1538.0,1755946217304,2025-08-23 18:50:17,2025-08-23 18:50:17,128843.91,1537.81,1734.19,2025-08-23 18:53:13.025,disease.sh,2025-08-23
Liechtenstein,Europe,21574,0,94,0,0,21480,0,112458,38387,562013.0,2449.0,1755946217304,2025-08-23 18:50:17,2025-08-23 18:50:17,562013.18,2448.75,2929.59,2025-08-23 18:53:13.025,disease.sh,2025-08-23
Guinea-bissau,Africa,9615,1,177,0,8929,508,6,145232,2063367,4659.0,86.0,1755946217304,2025-08-23 18:50:17,2025-08-23 18:50:17,4659.86,85.78,70.39,2025-08-23 18:53:13.025,disease.sh,2025-08-23
Haiti,North America,34671,4,860,0,33734,73,0,132433,11680283,2968.0,74.0,1755946217304,2025-08-23 18:50:17,2025-08-23 18:50:17,2968.34,73.63,11.34,2025-08-23 18:53:13.025,disease.sh,2025-08-23
Aruba,North America,44224,0,292,0,42438,1494,2,177886,107609,410969.0,2714.0,1755946217305,2025-08-23 18:50:17,2025-08-23 18:50:17,410969.34,2713.53,1653.08,2025-08-23 18:53:13.025,disease.sh,2025-08-23
South Africa,Africa,4076475,12,102595,0,3912506,61362,192,26795118,60756135,67095.0,1689.0,1755946217305,2025-08-23 18:50:17,2025-08-23 18:50:17,67095.69,1688.64,441.03,2025-08-23 18:53:13.025,disease.sh,2025-08-23
Burkina Faso,Africa,22117,3,400,0,21596,118,0,249010,22102838,1001.0,18.0,1755946217305,2025-08-23 18:50:17,2025-08-23 18:50:17,1000.64,18.1,11.27,2025-08-23 18:53:13.025,disease.sh,2025-08-23
Peru,South America,4572686,19,222161,0,4350506,0,4,39010227,33684208,135751.0,6595.0,1755946217304,2025-08-23 18:50:17,2025-08-23 18:50:17,135751.63,6595.41,1158.12,2025-08-23 18:53:13.025,disease.sh,2025-08-23
Netherlands,Europe,8635796,10,22992,0,8612599,195,0,25984442,17211447,501747.0,1336.0,1755946217304,2025-08-23 18:50:17,2025-08-23 18:50:17,501747.24,1335.86,1509.72,2025-08-23 18:53:13.025,disease.sh,2025-08-23
South Sudan,Africa,18819,0,147,0,18115,557,1,410290,11618511,1620.0,13.0,1755946217304,2025-08-23 18:50:17,2025-08-23 18:50:17,1619.74,12.65,35.31,2025-08-23 18:53:13.025,disease.sh,2025-08-23
Usa,North America,111820161,79,1219493,6,109814428,786167,940,1186851747,334805269,333985.0,3642.0,1755946217305,2025-08-23 18:50:17,2025-08-23 18:50:17,333985.67,3642.39,3544.9,2025-08-23 18:53:13.025,disease.sh,2025-08-23
Mozambique,Africa,233744,13,2250,0,228805,2676,11,1371148,33089461,7064.0,68.0,1755946217304,2025-08-23 18:50:17,2025-08-23 18:50:17,7064.0,68.0,41.44,2025-08-23 18:53:13.025,disease.sh,2025-08-23
Cabo Verde,Africa,64477,0,417,0,63755,305,23,401623,567678,113580.0,735.0,1755946217305,2025-08-23 18:50:17,2025-08-23 18:50:17,113580.23,734.57,707.48,2025-08-23 18:53:13.025,disease.sh,2025-08-23
San Marino,Europe,26186,1,128,0,26011,46,0,196855,34085,768226.0,3755.0,1755946217304,2025-08-23 18:50:17,2025-08-23 18:50:17,768255.83,3755.32,5775.41,2025-08-23 18:53:13.025,disease.sh,2025-08-23
Philippines,Asia,4140393,10,66866,2,4067381,6138,0,36102869,112508994,36800.0,594.0,1755946217304,2025-08-23 18:50:17,2025-08-23 18:50:17,36800.55,594.32,320.89,2025-08-23 18:53:13.025,disease.sh,2025-08-23
Bangladesh,Asia,2049428,51,29493,0,0,2019884,0,15254493,167885689,12207.0,176.0,1755946217304,2025-08-23 18:50:17,2025-08-23 18:50:17,12207.28,175.67,90.86,2025-08-23 18:53:13.025,disease.sh,2025-08-23
Belarus,Europe,994041,4,7118,0,985592,1327,0,13646645,9432800,105381.0,755.0,1755946217304,2025-08-23 18:50:17,2025-08-23 18:50:17,105381.33,754.6,1446.72,2025-08-23 18:53:13.025,disease.sh,2025-08-23
Moldova,Europe,635147,2,12218,0,0,622927,0,3216307,4013171,158265.0,3044.0,1755946217304,2025-08-23 18:50:17,2025-08-23 18:50:17,158265.62,3044.48,801.44,2025-08-23 18:53:13.025,disease.sh,2025-08-23
Czechia,Europe,4759048,7,43517,0,4715206,318,2,57834248,10736784,443246.0,4053.0,1755946217305,2025-08-23 18:50:17,2025-08-23 18:50:17,443247.07,4053.08,5386.55,2025-08-23 18:53:13.025,disease.sh,2025-08-23
Finland,Europe,1516117,0,11958,0,1503989,170,0,12108978,5554960,272930.0,2153.0,1755946217304,2025-08-23 18:50:17,2025-08-23 18:50:17,272930.32,2152.67,2179.85,2025-08-23 18:53:13.025,disease.sh,2025-08-23
Indonesia,Asia,6829315,94,162068,5,6647104,20054,0,114158974,279134505,24466.0,581.0,1755946217305,2025-08-23 18:50:17,2025-08-23 18:50:17,24466.04,580.61,408.97,2025-08-23 18:53:13.025,disease.sh,2025-08-23
Hong Kong,Asia,2937615,6,14924,0,2916005,6680,0,76127727,7604299,386309.0,1963.0,1755946217304,2025-08-23 18:50:17,2025-08-23 18:50:17,386309.77,1962.57,10011.14,2025-08-23 18:53:13.025,disease.sh,2025-08-23
Liberia,Africa,8093,3,295,0,7783,12,2,139828,5305117,1525.0,56.0,1755946217305,2025-08-23 18:50:17,2025-08-23 18:50:17,1525.51,55.61,26.36,2025-08-23 18:53:13.025,disease.sh,2025-08-23
Austria,Europe,6081291,4,22542,0,6054934,3811,0,211273527,9066710,670727.0,2486.0,1755946217304,2025-08-23 18:50:17,2025-08-23 18:50:17,670727.42,2486.24,23302.12,2025-08-23 18:53:13.025,disease.sh,2025-08-23
Nigeria,Africa,267209,21,3156,1,259953,4080,11,5708994,216746934,1233.0,15.0,1755946217305,2025-08-23 18:50:17,2025-08-23 18:50:17,1232.82,14.56,26.34,2025-08-23 18:53:13.025,disease.sh,2025-08-23
Ireland,Europe,1734585,3,9491,0,1724921,170,19,13083455,5020199,345521.0,1891.0,1755946217304,2025-08-23 18:50:17,2025-08-23 18:50:17,345521.16,1890.56,2606.16,2025-08-23 18:53:13.025,disease.sh,2025-08-23
Namibia,Africa,172389,0,4106,0,167099,1184,0,1062663,2633874,65451.0,1559.0,1755946217304,2025-08-23 18:50:17,2025-08-23 18:50:17,65450.74,1558.92,403.46,2025-08-23 18:53:13.025,disease.sh,2025-08-23
Lesotho,Africa,36139,1,723,0,25980,9435,0,431223,2175699,16610.0,332.0,1755946217304,2025-08-23 18:50:17,2025-08-23 18:50:17,16610.29,332.31,198.2,2025-08-23 18:53:13.025,disease.sh,2025-08-23
Sri Lanka,Asia,672760,6,16897,0,655852,5,0,6486132,21575842,31181.0,783.0,1755946217304,2025-08-23 18:50:17,2025-08-23 18:50:17,31181.17,783.14,300.62,2025-08-23 18:53:13.025,disease.sh,2025-08-23
Iceland,Europe,209906,0,229,0,0,209677,0,1996384,345393,607731.0,663.0,1755946217304,2025-08-23 18:50:17,2025-08-23 18:50:17,607730.9,663.01,5780.04,2025-08-23 18:53:13.025,disease.sh,2025-08-23
Albania,Europe,334864,1,3605,0,330233,1025,0,1941035,2866374,116825.0,1258.0,1755946217305,2025-08-23 18:50:17,2025-08-23 18:50:17,116824.95,1257.69,677.17,2025-08-23 18:53:13.025,disease.sh,2025-08-23
Estonia,Europe,628071,1,3001,0,0,625069,0,6968104,1321910,475123.0,2270.0,1755946217305,2025-08-23 18:50:17,2025-08-23 18:50:17,475123.87,2270.2,5271.24,2025-08-23 18:53:13.025,disease.sh,2025-08-23
Germany,Europe,38829004,9,183028,1,38240600,405368,0,122332471,83883596,462891.0,2182.0,1755946217304,2025-08-23 18:50:17,2025-08-23 18:50:17,462891.51,2181.93,1458.36,2025-08-23 18:53:13.025,disease.sh,2025-08-23
Hungary,Europe,2230233,1,49048,0,2152155,29029,0,11394567,9606259,232164.0,5106.0,1755946217304,2025-08-23 18:50:17,2025-08-23 18:50:17,232164.57,5105.84,1186.16,2025-08-23 18:53:13.025,disease.sh,2025-08-23
Cambodia,Asia,139110,7,3056,0,136044,3,0,3091434,17168639,8102.0,178.0,1755946217305,2025-08-23 18:50:17,2025-08-23 18:50:17,8102.56,178.0,180.06,2025-08-23 18:53:13.025,disease.sh,2025-08-23
Bosnia,Europe,403616,1,16388,0,379084,8143,0,1884723,3249317,124215.0,5044.0,1755946217305,2025-08-23 18:50:17,2025-08-23 18:50:17,124215.64,5043.52,580.04,2025-08-23 18:53:13.025,disease.sh,2025-08-23
Sweden,Europe,2754131,2,27407,0,2726492,230,0,19500880,10218971,269511.0,2682.0,1755946217305,2025-08-23 18:50:17,2025-08-23 18:50:17,269511.58,2681.97,1908.3,2025-08-23 18:53:13.025,disease.sh,2025-08-23
Latvia,Europe,982505,0,6715,0,971406,4384,0,7885794,1848837,531418.0,3632.0,1755946217304,2025-08-23 18:50:17,2025-08-23 18:50:17,531417.86,3632.01,4265.27,2025-08-23 18:53:13.025,disease.sh,2025-08-23
Uganda,Africa,172157,8,3632,0,100431,68086,0,3012444,48432863,3554.0,75.0,1755946217304,2025-08-23 18:50:17,2025-08-23 18:50:17,3554.55,74.99,62.2,2025-08-23 18:53:13.025,disease.sh,2025-08-23
Serbia,Europe,2615060,6,18057,0,2596608,389,0,13463739,8653016,302213.0,2087.0,1755946217304,2025-08-23 18:50:17,2025-08-23 18:50:17,302213.7,2086.79,1555.96,2025-08-23 18:53:13.025,disease.sh,2025-08-23
Guinea,Africa,38579,7,468,0,37757,347,0,660116,13865691,2782.0,34.0,1755946217304,2025-08-23 18:50:17,2025-08-23 18:50:17,2782.34,33.75,47.61,2025-08-23 18:53:13.025,disease.sh,2025-08-23
Myanmar,Asia,641894,21,19495,0,620159,2219,0,11711568,55227143,11622.0,353.0,1755946217305,2025-08-23 18:50:17,2025-08-23 18:50:17,11622.8,353.0,212.06,2025-08-23 18:53:13.025,disease.sh,2025-08-23
Bahrain,Asia,729549,0,1574,0,727915,60,0,10948549,1783983,408944.0,882.0,1755946217304,2025-08-23 18:50:17,2025-08-23 18:50:17,408943.92,882.3,6137.14,2025-08-23 18:53:13.025,disease.sh,2025-08-23
Lebanon,Asia,1243843,5,10952,0,1087587,145299,74,4795583,6684849,186068.0,1638.0,1755946217304,2025-08-23 18:50:17,2025-08-23 18:50:17,186068.97,1638.33,717.38,2025-08-23 18:53:13.025,disease.sh,2025-08-23
Vietnam,Asia,11625263,68,43206,0,10640971,941018,0,85826560,98953541,117481.0,437.0,1755946217304,2025-08-23 18:50:17,2025-08-23 18:50:17,117482.03,436.63,867.34,2025-08-23 18:53:13.025,disease.sh,2025-08-23
Niger,Africa,9946,15,312,0,8890,729,1,254548,26083660,381.0,12.0,1755946217305,2025-08-23 18:50:17,2025-08-23 18:50:17,381.31,11.96,9.76,2025-08-23 18:53:13.025,disease.sh,2025-08-23
Ghana,Africa,171910,21,1462,0,170425,2,0,2541657,32395450,5306.0,45.0,1755946217304,2025-08-23 18:50:17,2025-08-23 18:50:17,5306.61,45.13,78.46,2025-08-23 18:53:13.025,disease.sh,2025-08-23
Malta,Europe,121421,1,885,0,120149,386,0,2170601,444033,273448.0,1993.0,1755946217305,2025-08-23 18:50:17,2025-08-23 18:50:17,273450.4,1993.1,4888.38,2025-08-23 18:53:13.025,disease.sh,2025-08-23
Egypt,Africa,516099,76,24613,0,442182,49228,122,3693456,106156692,4861.0,232.0,1755946217304,2025-08-23 18:50:17,2025-08-23 18:50:17,4861.67,231.86,34.79,2025-08-23 18:53:13.025,disease.sh,2025-08-23
