country,continent,cases,todayCases,deaths,todayDeaths,recovered,active,critical,tests,population,casesPerOneMillion,deathsPerOneMillion,updated,event_ts,updated_ts,cases_per_million,deaths_per_million,tests_per_thousand,ingest_time,source_system,event_date
Libyan Arab Jamahiriya,Africa,507274,0,6437,0,500835,2,0,2483854,7040745,72048.0,914.0,1755946217304,2025-08-23 18:50:17,2025-08-23 18:50:17,72048.34,914.25,352.78,2025-08-23 18:53:13.025,disease.sh,2025-08-23
Romania,Europe,3529735,0,68929,0,3460149,657,21,28758684,19031335,185470.0,3622.0,1755946217305,2025-08-23 18:50:17,2025-08-23 18:50:17,185469.65,3621.87,1511.12,2025-08-23 18:53:13.025,disease.sh,2025-08-23
Russia,Europe,24124295,80,402757,1,23545818,175641,0,273400039,145805947,165454.0,2762.0,1755946217304,2025-08-23 18:50:17,2025-08-23 18:50:17,165454.81,2762.28,1875.1,2025-08-23 18:53:13.025,disease.sh,2025-08-23
Angola,Africa,107327,0,1937,0,103419,1971,0,1499810,35027343,3064.0,55.0,1755946217305,2025-08-23 18:50:17,2025-08-23 18:50:17,3064.09,55.3,42.82,2025-08-23 18:53:13.025,disease.sh,2025-08-23
Greece,Europe,6101386,7,37869,0,0,6063510,0,102228372,10316637,591412.0,3671.0,1755946217304,2025-08-23 18:50:17,2025-08-23 18:50:17,591412.3,3670.67,9909.08,2025-08-23 18:53:13.025,disease.sh,2025-08-23
Mexico,North America,7702903,94,334958,0,6899865,467986,0,20013937,131562772,58549.0,2546.0,1755946217305,2025-08-23 18:50:17,2025-08-23 18:50:17,58549.26,2545.99,152.12,2025-08-23 18:53:13.025,disease.sh,2025-08-23
Palestine,Asia,621010,2,5404,0,615445,159,0,3078536,5345541,116173.0,1011.0,1755946217304,2025-08-23 18:50:17,2025-08-23 18:50:17,116173.46,1010.94,575.91,2025-08-23 18:53:13.025,disease.sh,2025-08-23
Gambia,Africa,12626,0,372,0,12189,65,0,155687,2558482,4935.0,145.0,1755946217305,2025-08-23 18:50:17,2025-08-23 18:50:17,4934.96,145.4,60.85,2025-08-23 18:53:13.025,disease.sh,2025-08-23
Sierra Leone,Africa,7781,2,126,0,0,7653,0,259958,8306436,937.0,15.0,1755946217304,2025-08-23 18:50:17,2025-08-23 18:50:17,936.74,15.17,31.3,2025-08-23 18:53:13.025,disease.sh,2025-08-23
Turks And Caicos Islands,North America,6753,1,40,0,6709,3,4,616789,39741,169900.0,1007.0,1755946217304,2025-08-23 18:50:17,2025-08-23 18:50:17,169925.27,1006.52,15520.22,2025-08-23 18:53:13.025,disease.sh,2025-08-23
