country,continent,cases,todayCases,deaths,todayDeaths,recovered,active,critical,tests,population,casesPerOneMillion,deathsPerOneMillion,updated,event_ts,event_date
Zimbabwe,Africa,266361,2,5740,0,258888,1731,12,2525765,15331428,17373.0,374.0,1755946217304,2025-08-23 18:50:17,2025-08-23
Montserrat,North America,1403,0,8,0,1376,19,0,17763,4965,282578.0,1611.0,1755946217304,2025-08-23 18:50:17,2025-08-23
Anguilla,North America,3905,1,12,0,0,3892,0,51382,15230,256336.0,788.0,1755946217304,2025-08-23 18:50:17,2025-08-23
Algeria,Africa,272043,33,6881,0,183061,82068,0,230981,45350148,5998.0,152.0,1755946217304,2025-08-23 18:50:17,2025-08-23
DRC,Africa,99356,18,1468,0,84489,13381,0,846764,95240792,1043.0,15.0,1755946217304,2025-08-23 18:50:17,2025-08-23
Ethiopia,Africa,501211,54,7574,0,488171,5412,0,5565399,120812698,4148.0,63.0,1755946217304,2025-08-23 18:50:17,2025-08-23
Marshall Islands,Australia-Oceania,16138,0,17,0,16121,0,0,1,60057,268711.0,283.0,1755946217304,2025-08-23 18:50:17,2025-08-23
Western Sahara,Africa,11,1,1,0,9,0,0,0,626161,16.0,2.0,1755946217304,2025-08-23 18:50:17,2025-08-23
Egypt,Africa,516099,76,24613,0,442182,49228,122,3693456,106156692,4861.0,232.0,1755946217304,2025-08-23 18:50:17,2025-08-23
India,Asia,45035634,241,533597,27,0,44501823,0,935879817,1406631776,32016.0,379.0,1755946217304,2025-08-23 18:50:17,2025-08-23
Channel Islands,Europe,101717,0,228,0,101321,168,0,1252808,176463,576421.0,1292.0,1755946217304,2025-08-23 18:50:17,2025-08-23
Lesotho,Africa,36139,1,723,0,25980,9435,0,431223,2175699,16610.0,332.0,1755946217304,2025-08-23 18:50:17,2025-08-23
Spain,Europe,13914812,1,121760,0,13762417,30634,231,471036339,46719142,297840.0,2606.0,1755946217304,2025-08-23 18:50:17,2025-08-23
Saint Lucia,North America,30216,1,410,0,29805,0,0,210983,185113,163225.0,2215.0,1755946217304,2025-08-23 18:50:17,2025-08-23
Tunisia,Africa,1153366,5,29423,0,0,1123938,0,5013384,12046656,95741.0,2442.0,1755946217304,2025-08-23 18:50:17,2025-08-23
Ecuador,South America,1070198,10,36043,0,1034145,0,0,3082415,18113361,59083.0,1990.0,1755946217304,2025-08-23 18:50:17,2025-08-23
Belarus,Europe,994041,4,7118,0,985592,1327,0,13646645,9432800,105381.0,755.0,1755946217304,2025-08-23 18:50:17,2025-08-23
Greenland,North America,11972,1,21,0,2761,9189,4,164926,56973,210117.0,369.0,1755946217304,2025-08-23 18:50:17,2025-08-23
Papua New Guinea,Australia-Oceania,46870,6,670,0,46168,26,0,249149,9292169,5043.0,72.0,1755946217304,2025-08-23 18:50:17,2025-08-23
Maldives,Asia,186695,1,316,0,163687,22691,25,2213832,540985,345100.0,584.0,1755946217304,2025-08-23 18:50:17,2025-08-23
Wallis and Futuna,Australia-Oceania,3550,0,8,0,438,3104,0,20509,10982,323256.0,728.0,1755946217304,2025-08-23 18:50:17,2025-08-23
Norway,Europe,1509733,1,6638,0,1503094,0,0,11002435,5511370,273930.0,1204.0,1755946217304,2025-08-23 18:50:17,2025-08-23
Fiji,Australia-Oceania,69117,0,885,0,67226,1006,0,672883,909466,75997.0,973.0,1755946217304,2025-08-23 18:50:17,2025-08-23
Swaziland,Africa,75192,1,1427,0,73116,648,0,1048704,1184817,63462.0,1204.0,1755946217304,2025-08-23 18:50:17,2025-08-23
Central African Republic,Africa,15440,0,113,0,15200,127,2,81294,5016678,3078.0,23.0,1755946217304,2025-08-23 18:50:17,2025-08-23
Mauritania,Africa,63851,3,997,0,62471,380,0,1009960,4901981,13025.0,203.0,1755946217304,2025-08-23 18:50:17,2025-08-23
Rwanda,Africa,133526,8,1468,0,132039,11,0,6021983,13600464,9817.0,108.0,1755946217304,2025-08-23 18:50:17,2025-08-23
Italy,Europe,26723278,29,196488,1,26361218,165544,22,281126492,60262770,443445.0,3261.0,1755946217304,2025-08-23 18:50:17,2025-08-23
Greece,Europe,6101386,7,37869,0,0,6063510,0,102228372,10316637,591412.0,3671.0,1755946217304,2025-08-23 18:50:17,2025-08-23
MS Zaandam,,10,1,2,0,7,0,0,1,0,0.0,0.0,1755946217304,2025-08-23 18:50:17,2025-08-23
Djibouti,Africa,15690,0,189,0,15427,74,0,305942,1016097,15441.0,186.0,1755946217304,2025-08-23 18:50:17,2025-08-23
Vanuatu,Australia-Oceania,12020,1,14,0,11976,29,0,24976,321832,37346.0,44.0,1755946217304,2025-08-23 18:50:17,2025-08-23
Portugal,Europe,5643067,5,28126,0,5614809,127,61,46139526,10140570,556484.0,2774.0,1755946217304,2025-08-23 18:50:17,2025-08-23
French Polynesia,Australia-Oceania,79254,0,650,0,0,78604,0,1,284164,278902.0,2287.0,1755946217304,2025-08-23 18:50:17,2025-08-23
Iran,Asia,7627223,37,146812,1,0,7480375,0,57320303,86022837,88665.0,1707.0,1755946217304,2025-08-23 18:50:17,2025-08-23
Guinea,Africa,38579,7,468,0,37757,347,0,660116,13865691,2782.0,34.0,1755946217304,2025-08-23 18:50:17,2025-08-23
Pakistan,Asia,1581951,15,30664,0,1538689,12583,0,30589339,229488994,6893.0,134.0,1755946217304,2025-08-23 18:50:17,2025-08-23
Paraguay,South America,837602,0,20155,0,0,817447,0,2657512,7305843,114648.0,2759.0,1755946217304,2025-08-23 18:50:17,2025-08-23
Argentina,South America,10128847,2,130841,0,9997258,746,0,35716099,46010234,220143.0,2844.0,1755946217304,2025-08-23 18:50:17,2025-08-23
